	Line=1, token=INTEGER, value="58"
	Line=2, token=INTEGER, value="135"
	Line=3, token=INTEGER, value="4321"
	Line=4, token=IDENTIFIER, value="aaaa"
	Line=5, token=INTEGER, value="0x23"
	Line=6, token=IDENTIFIER, value="abcd"
	Line=7, token=STRING, value=""abcd""
	Line=8, token=INTEGER, value="55"
	Line=8, token=DELIMITER, value="	"
	Line=8, token=IDENTIFIER, value="abcd"
	Line=9, token=INTEGER, value="075"
	Line=9, token=DELIMITER, value="	"
	Line=9, token=INTEGER, value="55"
	Line=9, token=DELIMITER, value="	"
	Line=9, token=IDENTIFIER, value="abcd"
	Line=12, token=OPERATOR, value="/"
	Line=12, token=IDENTIFIER, value="abcd"
	Line=14, token=DELIMITER, value="		"
	Line=14, token=INTEGER, value="1234"
	Line=15,UNKNOWN ERROR, value="""
	Line=15, token=IDENTIFIER, value="abcd"
	Line=15,UNKNOWN ERROR, value="'"
	Line=16, token=STRING, value=""abcd_1234""
	Line=18, token=IDENTIFIER, value="a_12a"
	Line=19, token=FLOAT, value="12.45"
	Line=20, token=FLOAT, value="10e2"
	Line=21, token=FLOAT, value="10.1e2"
	Line=22,UNKNOWN ERROR, value="a"
	Line=22, token=OPERATOR, value="!"
	Line=22,UNKNOWN ERROR, value="@"
	Line=22,UNKNOWN ERROR, value="#"
	Line=22,UNKNOWN ERROR, value="$"
	Line=23, token=INTEGER, value="5"
	Line=23, token=OPERATOR, value="+"
	Line=23, token=INTEGER, value="5"
	Line=24, token=INTEGER, value="5"
	Line=24, token=OPERATOR, value="%"
	Line=24, token=INTEGER, value="5"
	Line=25, token=IDENTIFIER, value="ABCDabcd_1234"
	Line=26, token=INTEGER, value="5"
	Line=26, token=OPERATOR, value="="
	Line=26, token=INTEGER, value="5"
	Line=27, token=INTEGER, value="5"
	Line=27, token=OPERATOR, value="!="
	Line=27, token=INTEGER, value="10"
	Line=28, token=INTEGER, value="0xABC"
	Line=29, token=IDENTIFIER, value="OXABC"
	Line=30, token=IDENTIFIER, value="OX123456789"
	Line=31, token=INTEGER, value="012"
	Line=32, token=INTEGER, value="0"
	Line=33, token=FLOAT, value="0.15"
	Line=34, token=FLOAT, value="0.1e2"
	Line=35, token=FLOAT, value="00.1e2"
	Line=36, token=FLOAT, value="0.0"
	Line=37, token=INTEGER, value="1"
	Line=37,UNKNOWN ERROR, value=","
	Line=37, token=INTEGER, value="2"
	Line=38, token=INTEGER, value="1"
	Line=38,UNKNOWN ERROR, value="."
